species_label,organism_name,ncbi_accession,genomic_accession,ncbi_seq_id,assembly_accession,gene_symbol,locus_tag,source_type,length_nt,terminal_stop_removed,stratum,used_in_main_benchmark
ecoli,Escherichia coli,AAC73135.1,U00096.3,lcl|U00096.3_cds_AAC73135.1_24,GCA_000005845.2,yaaY,b0024,CDS_FASTA,219,yes,L1_short,yes
ecoli,Escherichia coli,AAC73483.2,U00096.3,lcl|U00096.3_cds_AAC73483.2_374,GCA_000005845.2,yaiZ,b0380,CDS_FASTA,213,yes,L1_short,yes
ecoli,Escherichia coli,AAC73492.1,U00096.3,lcl|U00096.3_cds_AAC73492.1_383,GCA_000005845.2,yaiA,b0389,CDS_FASTA,192,yes,L1_short,yes
ecoli,Escherichia coli,AAC73562.1,U00096.3,lcl|U00096.3_cds_AAC73562.1_452,GCA_000005845.2,hha,b0460,CDS_FASTA,219,yes,L1_short,yes
ecoli,Escherichia coli,AAC73649.1,U00096.3,lcl|U00096.3_cds_AAC73649.1_537,GCA_000005845.2,ninE,b0548,CDS_FASTA,171,yes,L1_short,yes
ecoli,Escherichia coli,AAC73724.1,U00096.3,lcl|U00096.3_cds_AAC73724.1_617,GCA_000005845.2,cspE,b0623,CDS_FASTA,210,yes,L1_short,yes
ecoli,Escherichia coli,AAC73793.1,U00096.3,lcl|U00096.3_cds_AAC73793.1_681,GCA_000005845.2,ybfA,b0699,CDS_FASTA,207,yes,L1_short,yes
ecoli,Escherichia coli,AAC73849.1,U00096.3,lcl|U00096.3_cds_AAC73849.1_737,GCA_000005845.2,acrZ,b0762,CDS_FASTA,150,yes,L1_short,yes
ecoli,Escherichia coli,AAC73967.1,U00096.3,lcl|U00096.3_cds_AAC73967.1_857,GCA_000005845.2,cspD,b0880,CDS_FASTA,225,yes,L1_short,yes
ecoli,Escherichia coli,AAC73970.1,U00096.3,lcl|U00096.3_cds_AAC73970.1_861,GCA_000005845.2,infA,b0884,CDS_FASTA,219,yes,L1_short,yes
ecoli,Escherichia coli,AAC74003.1,U00096.3,lcl|U00096.3_cds_AAC74003.1_894,GCA_000005845.2,ycaR,b0917,CDS_FASTA,183,yes,L1_short,yes
